Model Interval,FPS,GPU Frame Time,CPU Frame Time,Draw Calls,Total Frame Time,Model Count
"(0, 10]",,,,,,
"(10, 20]",58.006535947712415,0.875648,2.25,120.375,17.25,15.25
"(20, 30]",59.34873949579832,2.5028022857142855,3.2857142857142856,302.2142857142857,16.857142857142858,26.642857142857142
"(30, 40]",60.13071895424836,5.892096,3.8333333333333335,357.1666666666667,16.666666666666668,36.333333333333336
"(40, 50]",59.56625074272133,7.449041454545455,4.363636363636363,499.27272727272725,16.818181818181817,45.63636363636363
"(50, 60]",59.740377632534496,12.891477333333334,5.888888888888889,685.7777777777778,16.77777777777778,54.888888888888886
"(60, 70]",60.094408133623816,9.704675555555555,7.111111111111111,930.8888888888889,16.666666666666668,65.66666666666667
"(70, 80]",58.48635750596535,11.18526577777778,7.444444444444445,979.4444444444445,17.22222222222222,76.11111111111111
"(80, 90]",59.967320261437905,11.2920576,7.7,1030.0,16.7,85.2
"(90, 100]",60.04901960784313,8.793088000000001,8.777777777777779,1174.5555555555557,16.666666666666668,94.88888888888889
"(100, 110]",59.982174688057036,6.930897454545454,8.909090909090908,1214.8181818181818,16.727272727272727,105.0
"(110, 120]",59.53302373581011,5.103445333333333,9.5,1365.3333333333333,16.833333333333332,115.33333333333333
"(120, 130]",60.5392156862745,6.525405866666667,10.333333333333334,1569.2666666666667,16.533333333333335,125.8
"(130, 140]",61.32897603485839,8.106780444444444,11.11111111111111,1673.0,16.333333333333332,134.44444444444446
"(140, 150]",59.32280319535221,9.951914666666667,12.222222222222221,1874.2222222222222,16.88888888888889,145.22222222222223
"(150, 160]",59.87394957983194,9.335515428571428,12.714285714285714,2063.8571428571427,16.714285714285715,155.85714285714286
"(160, 170]",59.94128420599009,9.443328,12.76923076923077,2100.3076923076924,16.76923076923077,164.6153846153846
"(170, 180]",60.97211611917494,9.043502545454546,13.181818181818182,2204.6363636363635,16.454545454545453,174.45454545454547
"(180, 190]",60.20220588235294,9.046656,13.25,2271.375,16.625,183.5
"(190, 200]",60.44634759805038,9.159307636363636,14.636363636363637,2341.5454545454545,16.636363636363637,194.8181818181818
"(200, 210]",56.734283625730995,9.357184,15.125,2558.875,17.75,206.0
"(210, 220]",54.43948412698413,10.024576,16.5,2685.625,18.5,215.0
"(220, 230]",50.45378598010177,10.531478588235293,17.11764705882353,2801.9411764705883,19.941176470588236,227.2941176470588
"(230, 240]",50.17037543353333,11.196142933333332,17.933333333333334,2952.0666666666666,20.0,235.6
"(240, 250]",48.86790840738209,11.341504,17.8125,2923.5,20.5,244.875
"(250, 260]",46.61100317493338,11.734208,18.6875,3111.0625,21.5625,254.5
"(260, 270]",45.01593967626576,12.028672,19.25,3183.8125,22.3125,265.5625
"(270, 280]",45.357747842219894,11.775707428571428,19.428571428571427,3176.714285714286,22.142857142857142,274.0
"(280, 290]",40.2864044168392,12.758016,20.666666666666668,3472.3333333333335,25.0,282.6666666666667
