Model Interval,FPS,GPU Frame Time,CPU Frame Time,Draw Calls,Total Frame Time,Model Count
"(0, 10]",,,,,,
"(10, 20]",59.23202614379085,0.7682048,3.7,174.8,16.9,14.8
"(20, 30]",59.558823529411754,0.9189375999999999,3.4,304.9,16.8,25.7
"(30, 40]",58.86891793754538,10.82356622222222,4.111111111111111,522.2222222222222,17.0,35.44444444444444
"(40, 50]",61.32897603485839,10.708650666666665,6.111111111111111,642.5555555555555,16.333333333333332,44.77777777777778
"(50, 60]",59.5291146761735,12.498850909090908,6.454545454545454,732.8181818181819,16.818181818181817,54.36363636363637
"(60, 70]",61.00217864923747,10.720341333333332,6.583333333333333,887.8333333333334,16.416666666666668,65.16666666666667
"(70, 80]",60.01633986928105,12.597145600000001,7.4,1038.2,16.7,76.6
"(80, 90]",59.947739426349045,10.620928,8.909090909090908,1151.090909090909,16.818181818181817,86.54545454545455
"(90, 100]",60.094408133623816,10.525923555555556,9.0,1213.6666666666667,16.666666666666668,95.66666666666667
"(100, 110]",60.61348781937017,8.704372363636365,8.818181818181818,1309.1818181818182,16.545454545454547,105.36363636363636
"(110, 120]",58.5171568627451,10.049792,8.875,1343.125,17.125,114.125
"(120, 130]",62.72953625894802,11.222698666666666,10.11111111111111,1556.5555555555557,16.0,125.88888888888889
"(130, 140]",59.23202614379085,9.7250304,11.2,1601.4,16.9,136.0
"(140, 150]",60.96813725490196,10.36416,11.416666666666666,1760.5,16.416666666666668,145.25
"(150, 160]",61.71218487394958,9.788330666666667,11.333333333333334,1856.4166666666667,16.25,155.16666666666666
"(160, 170]",58.41503267973856,8.45248,13.125,2260.0,17.125,165.25
"(170, 180]",61.68512859689331,9.00701090909091,13.636363636363637,2210.181818181818,16.272727272727273,175.1818181818182
"(180, 190]",59.558823529411754,9.113088000000001,14.1,2372.8,16.8,185.0
"(190, 200]",58.653680770553834,9.0079232,15.3,2510.3,17.1,195.9
"(200, 210]",55.30711309865077,9.41056,15.777777777777779,2663.1111111111113,18.11111111111111,206.88888888888889
"(210, 220]",52.420313604524125,10.163121230769232,16.692307692307693,2782.6153846153848,19.153846153846153,216.84615384615384
"(220, 230]",51.01655654287233,10.6474496,18.2,2819.4,19.7,226.5
"(230, 240]",50.43013303847446,10.661510736842105,17.736842105263158,2821.5789473684213,19.94736842105263,234.26315789473685
"(240, 250]",49.03492358735326,11.300743529411765,17.529411764705884,2954.705882352941,20.470588235294116,244.58823529411765
"(250, 260]",47.696615302222895,11.601980235294118,19.705882352941178,3096.3529411764707,21.11764705882353,255.05882352941177
"(260, 270]",45.06168482617758,11.894613333333334,19.5,3224.5833333333335,22.333333333333332,265.0833333333333
"(270, 280]",44.348767174854125,12.188818285714287,19.857142857142858,3232.0,22.571428571428573,273.7142857142857
"(280, 290]",41.66666666666666,11.977728,20.0,3320.0,24.0,283.0
