Model Interval,FPS,GPU Frame Time,CPU Frame Time,Draw Calls,Total Frame Time,Model Count
"(0, 10]",,,,,,
"(10, 20]",61.274509803921575,0.6858524444444444,2.7777777777777777,254.88888888888889,16.333333333333332,15.444444444444445
"(20, 30]",59.19798474945534,1.6302933333333334,2.4166666666666665,339.4166666666667,16.916666666666668,26.0
"(30, 40]",60.45751633986928,1.2573582222222222,3.0,428.22222222222223,16.555555555555557,35.111111111111114
"(40, 50]",60.38398692810457,2.9969408,4.0,607.3,16.6,45.0
"(50, 60]",58.551198257080614,6.684558222222222,5.888888888888889,710.8888888888889,17.11111111111111,55.333333333333336
"(60, 70]",60.57635175282234,11.363234909090908,7.0,886.1818181818181,16.545454545454547,67.0909090909091
"(70, 80]",60.04901960784313,4.448597333333333,7.777777777777778,1123.0,16.666666666666668,75.44444444444444
"(80, 90]",59.40709617180205,3.4540982857142857,8.571428571428571,1283.857142857143,16.857142857142858,85.57142857142857
"(90, 100]",60.551784816490695,3.2630941538461538,9.0,1359.923076923077,16.53846153846154,95.07692307692308
"(100, 110]",60.50290486564997,3.731228444444444,10.555555555555555,1538.2222222222222,16.555555555555557,104.44444444444444
"(110, 120]",61.34940087145969,6.902272,10.833333333333334,1659.0833333333333,16.333333333333332,115.91666666666667
"(120, 130]",59.92647058823529,8.242176,11.6,1827.4,16.7,124.9
"(130, 140]",61.81372549019608,8.726732799999999,11.9,1909.3,16.2,135.0
"(140, 150]",61.5546218487395,8.7814144,12.5,2076.2,16.3,145.4
"(150, 160]",60.661764705882355,8.821248,14.1,2210.7,16.5,155.3
"(160, 170]",61.734360410831,9.053184,13.5,2266.5,16.3,164.0
"(170, 180]",59.26973353443942,8.617747692307692,14.23076923076923,2466.0,16.923076923076923,175.15384615384616
"(180, 190]",58.13732656805413,9.301077333333334,14.666666666666666,2520.0,17.25,186.08333333333334
"(190, 200]",55.4046179875459,9.228141714285714,15.714285714285714,2602.8571428571427,18.142857142857142,195.28571428571428
"(200, 210]",55.31260749914001,9.795072,17.0,2735.875,18.125,204.75
"(210, 220]",51.42439431913116,10.2385664,17.4,2875.9,19.5,215.3
"(220, 230]",49.102199944305205,10.972501333333332,18.533333333333335,2985.9333333333334,20.466666666666665,225.86666666666667
"(230, 240]",47.837321474725265,11.233466181818182,18.545454545454547,3030.5,20.954545454545453,236.27272727272728
"(240, 250]",46.01355166572558,12.028381866666667,19.6,3147.133333333333,21.8,246.2
"(250, 260]",44.46033193859281,12.136516266666666,20.333333333333332,3247.133333333333,22.6,256.3333333333333
"(260, 270]",44.20427398688268,12.211042461538462,20.153846153846153,3270.923076923077,22.692307692307693,266.6923076923077
"(270, 280]",43.04016822757452,12.812434285714286,21.0,3381.285714285714,23.428571428571427,274.2857142857143
