Model Interval,FPS,GPU Frame Time,CPU Frame Time,Draw Calls,Total Frame Time,Model Count
"(0, 10]",,,,,,
"(10, 20]",58.00653594771242,1.3418123636363637,2.0,135.45454545454547,17.272727272727273,15.909090909090908
"(20, 30]",59.40709617180205,1.2462079999999998,2.857142857142857,330.7142857142857,16.857142857142858,25.0
"(30, 40]",59.68954248366013,1.7857536,4.4,484.4,16.8,35.5
"(40, 50]",60.14887436456063,1.4086826666666665,4.444444444444445,470.3333333333333,16.666666666666668,45.0
"(50, 60]",58.92907402195328,2.0882152727272727,5.181818181818182,614.7272727272727,17.0,55.72727272727273
"(60, 70]",59.19798474945534,2.218496,5.416666666666667,740.4166666666666,16.916666666666668,65.41666666666667
"(70, 80]",59.56706513014563,3.8406826666666665,6.25,848.5833333333334,16.833333333333332,75.5
"(80, 90]",59.64052287581699,8.389518222222222,7.777777777777778,1016.0,16.77777777777778,85.66666666666667
"(90, 100]",59.27287581699346,8.1542144,8.1,1083.2,16.9,95.6
"(100, 110]",60.92047930283224,5.098040888888889,8.11111111111111,1158.0,16.444444444444443,107.22222222222223
"(110, 120]",59.50435729847495,6.760618666666667,9.0,1295.1666666666667,16.833333333333332,114.5
"(120, 130]",60.557371096586785,9.707406222222223,9.444444444444445,1350.2222222222222,16.555555555555557,125.77777777777777
"(130, 140]",58.46609477124183,9.223936,10.0,1508.375,17.125,135.75
"(140, 150]",61.22782446311858,9.8824192,11.1,1621.6,16.4,146.9
"(150, 160]",58.251633986928105,8.6972416,11.6,1775.0,17.2,154.4
"(160, 170]",58.14270152505446,9.25434311111111,11.777777777777779,1756.7777777777778,17.22222222222222,164.66666666666666
"(170, 180]",56.50411679823445,9.572571428571427,13.357142857142858,1940.5,19.571428571428573,175.42857142857142
"(180, 190]",59.36819172113289,8.612295111111111,14.11111111111111,2015.2222222222222,16.88888888888889,185.88888888888889
"(190, 200]",59.558823529411754,9.069568,15.5,2135.5,16.8,196.3
"(200, 210]",58.24518403852769,9.4706688,15.3,2298.5,17.2,205.9
"(210, 220]",57.072781879283426,9.632846769230769,16.0,2459.5384615384614,17.615384615384617,215.69230769230768
"(220, 230]",54.427827590366284,9.98637568,16.16,2598.28,18.52,225.8
"(230, 240]",50.961241487557274,10.691106133333333,17.6,2770.3333333333335,19.666666666666668,236.06666666666666
"(240, 250]",49.46203893572314,10.793935238095239,18.476190476190474,2827.190476190476,20.285714285714285,245.0
"(250, 260]",48.46196095624013,11.253486933333333,19.6,2971.9333333333334,20.8,255.33333333333334
"(260, 270]",48.18754774637127,11.6319232,20.2,3120.7,20.9,264.7
"(270, 280]",44.466403162055336,11.935232,21.5,3306.5,22.5,272.5
