FPS,GPU Frame Time,CPU Frame Time,Draw Calls,Total Frame Time,Model Count
58.8235294117647,1.2636159999999999,3.0,184,17.0,11
58.8235294117647,0.621568,2.0,190,17.0,12
58.8235294117647,0.6543359999999999,3.0,184,17.0,12
58.8235294117647,0.621568,2.0,164,17.0,13
55.55555555555556,0.6318079999999999,3.0,257,18.0,14
62.5,1.296384,2.0,198,16.0,14
58.8235294117647,0.683008,3.0,176,17.0,18
58.8235294117647,0.6461439999999999,3.0,132,17.0,18
62.5,0.632832,13.0,131,16.0,18
58.8235294117647,0.630784,3.0,132,17.0,18
62.5,0.8417279999999999,4.0,346,16.0,23
58.8235294117647,2.697216,3.0,256,17.0,24
62.5,0.688128,4.0,270,16.0,24
58.8235294117647,0.685056,3.0,229,17.0,24
58.8235294117647,0.651264,3.0,271,17.0,25
58.8235294117647,0.688128,2.0,303,17.0,26
58.8235294117647,0.761856,3.0,355,17.0,27
58.8235294117647,0.751616,3.0,344,17.0,27
58.8235294117647,0.690176,4.0,320,17.0,28
58.8235294117647,0.734208,5.0,355,17.0,29
58.8235294117647,0.777216,5.0,456,17.0,32
58.8235294117647,14.65856,4.0,415,17.0,33
58.8235294117647,14.020608,3.0,477,17.0,33
58.8235294117647,14.752768,4.0,535,17.0,35
58.8235294117647,12.941312,4.0,533,17.0,35
55.55555555555556,11.017216,4.0,566,18.0,37
58.8235294117647,13.4656,5.0,537,17.0,37
58.8235294117647,14.112767999999999,4.0,643,17.0,38
62.5,1.666048,4.0,538,16.0,39
62.5,13.442048,6.0,677,16.0,41
58.8235294117647,3.853312,8.0,573,17.0,41
58.8235294117647,10.754048,5.0,586,17.0,42
62.5,1.528832,5.0,708,16.0,43
58.8235294117647,13.29152,4.0,572,17.0,45
62.5,13.524992,7.0,656,16.0,47
66.66666666666667,13.542399999999999,7.0,659,15.0,48
62.5,13.118464,8.0,730,16.0,48
58.8235294117647,13.322239999999999,5.0,622,17.0,48
58.8235294117647,13.148159999999999,7.0,567,17.0,51
