FPS,GPU Frame Time,CPU Frame Time,Draw Calls,Total Frame Time,Model Count
55.55555555555556,0.643072,1.0,11,18.0,12
58.8235294117647,0.620544,2.0,99,17.0,12
55.55555555555556,0.63488,1.0,99,18.0,12
55.55555555555556,1.371136,2.0,128,18.0,14
58.8235294117647,4.613119999999999,3.0,174,17.0,15
58.8235294117647,0.656384,2.0,186,17.0,15
58.8235294117647,0.673792,3.0,195,17.0,19
62.5,1.378304,2.0,155,16.0,19
62.5,1.347584,2.0,175,16.0,19
55.55555555555556,1.403904,3.0,129,18.0,19
55.55555555555556,1.417216,1.0,139,18.0,19
62.5,1.4776319999999998,3.0,193,16.0,22
58.8235294117647,0.666624,2.0,215,17.0,23
55.55555555555556,0.7096319999999999,2.0,368,18.0,24
58.8235294117647,0.7321599999999999,4.0,357,17.0,25
62.5,2.220032,3.0,364,16.0,25
58.8235294117647,0.7782399999999999,3.0,428,17.0,27
58.8235294117647,2.1391359999999997,3.0,390,17.0,29
58.8235294117647,2.3869439999999997,5.0,378,17.0,31
66.66666666666667,0.812032,5.0,511,15.0,32
62.5,0.838656,4.0,525,16.0,32
58.8235294117647,0.8785919999999999,4.0,508,17.0,33
58.8235294117647,4.722688,4.0,503,17.0,35
55.55555555555556,0.8335359999999999,5.0,461,18.0,37
55.55555555555556,0.854016,4.0,524,18.0,38
58.8235294117647,1.911808,3.0,391,17.0,38
62.5,3.705856,5.0,448,16.0,39
58.8235294117647,0.913408,5.0,595,17.0,40
58.8235294117647,0.802816,4.0,345,17.0,42
58.8235294117647,1.854464,5.0,488,17.0,42
66.66666666666667,1.845248,4.0,454,15.0,43
62.5,0.807936,5.0,488,16.0,44
55.55555555555556,1.45408,4.0,412,18.0,44
58.8235294117647,1.6383999999999999,5.0,440,17.0,45
62.5,1.5114239999999999,5.0,535,16.0,47
58.8235294117647,0.7874559999999999,4.0,554,17.0,48
58.8235294117647,1.9763199999999999,4.0,517,17.0,50
58.8235294117647,0.761856,4.0,505,17.0,51
58.8235294117647,0.817152,5.0,597,17.0,52
58.8235294117647,2.427904,4.0,506,17.0,53
58.8235294117647,1.444864,6.0,695,17.0,54
58.8235294117647,0.979968,5.0,506,17.0,54
58.8235294117647,0.8642559999999999,6.0,706,17.0,57
62.5,3.135488,6.0,668,16.0,57
58.8235294117647,5.1486719999999995,6.0,728,17.0,58
52.63157894736842,1.861632,3.0,532,19.0,58
62.5,1.590272,6.0,672,16.0,59
58.8235294117647,3.938304,6.0,647,17.0,60
58.8235294117647,0.8744959999999999,4.0,589,17.0,61
58.8235294117647,5.051392,5.0,617,17.0,63
62.5,0.9523199999999999,7.0,824,16.0,63
58.8235294117647,1.534976,6.0,785,17.0,64
55.55555555555556,1.9527679999999998,4.0,616,18.0,64
62.5,4.013056,6.0,780,16.0,66
58.8235294117647,1.9742719999999998,5.0,776,17.0,66
58.8235294117647,3.0760959999999997,5.0,782,17.0,67
58.8235294117647,2.0889599999999997,6.0,868,17.0,67
62.5,0.940032,6.0,722,16.0,67
58.8235294117647,1.9814399999999999,6.0,761,17.0,68
55.55555555555556,2.182144,5.0,765,18.0,69
58.8235294117647,2.494464,6.0,757,17.0,71
62.5,1.978368,6.0,820,16.0,73
62.5,5.233664,6.0,719,16.0,73
58.8235294117647,1.811456,7.0,780,17.0,74
58.8235294117647,2.4535039999999997,6.0,807,17.0,74
62.5,4.825088,7.0,895,16.0,75
58.8235294117647,2.9419519999999997,7.0,1113,17.0,76
55.55555555555556,2.158592,5.0,759,18.0,76
62.5,1.575936,6.0,798,16.0,77
58.8235294117647,4.3991039999999995,6.0,928,17.0,78
52.63157894736842,2.12992,5.0,853,19.0,79
62.5,14.086143999999999,8.0,954,16.0,80
62.5,6.89664,9.0,924,16.0,81
58.8235294117647,2.1729279999999997,7.0,838,17.0,82
62.5,2.5507839999999997,6.0,877,16.0,83
