Time Interval,x1,x2,x4,x48,x96
1-10,60.29411764705882,60.37581699346405,59.6749226006192,60.661764705882355,45.95288290141231
11-20,59.59967320261437,59.27287581699346,59.640522875816984,61.446078431372555,53.521952259164536
21-30,59.967320261437905,59.31372549019608,60.661764705882355,59.31372549019608,39.80342743237249
31-40,59.607843137254896,59.59967320261437,61.02941176470588,58.864379084967325,48.96546678372842
41-50,61.07843137254902,60.343137254901954,61.07026143790849,59.967320261437905,43.11048620074989
51-60,60.37581699346405,59.23202614379085,61.43790849673203,60.661764705882355,43.55640310243891
61-70,60.29411764705882,59.558823529411754,58.90522875816994,59.59967320261437,49.473789515806324
71-80,61.446078431372555,59.27287581699346,60.38398692810457,60.70261437908497,44.74903991447325
81-90,60.334967320261434,61.535947712418306,59.92647058823529,60.38398692810457,44.184937611408195
91-100,60.29411764705882,59.967320261437905,60.04256965944272,59.6749226006192,54.47264021887825
101-110,59.19117647058823,62.64705882352941,60.70261437908497,62.23039215686275,43.36097761964173
111-120,58.537581699346404,59.640522875816984,59.92647058823529,60.38398692810457,58.45261437908497
121-130,60.661764705882355,60.334967320261434,60.661764705882355,58.21078431372549,45.17883311682444
131-140,59.558823529411754,59.967320261437905,59.59967320261437,58.57843137254902,50.85511982570806
141-150,61.535947712418306,60.00816993464052,58.537581699346404,60.38398692810457,51.91770647653001
151-160,58.864379084967325,60.661764705882355,59.967320261437905,60.00816993464052,48.0805109922757
161-170,60.334967320261434,60.71078431372549,61.446078431372555,57.88398692810457,47.556118999323864
171-180,61.446078431372555,59.92647058823529,60.70261437908497,59.59967320261437,43.34976979297466
181-190,60.661764705882355,60.70261437908497,59.27287581699346,60.334967320261434,51.09472434209046
191-200,59.19117647058823,60.751633986928105,59.68954248366013,56.012329174093885,43.738501273131256
201-210,60.661764705882355,59.92647058823529,59.27287581699346,58.537581699346404,42.95313973622014
211-220,59.967320261437905,59.27287581699346,60.71078431372549,60.751633986928105,40.18752642018664
221-230,60.661764705882355,60.71078431372549,61.446078431372555,58.49673202614379,54.21167557932264
231-240,61.07843137254902,59.23202614379085,60.70261437908497,59.92647058823529,40.10820091962051
241-250,59.92647058823529,59.64869281045751,59.607843137254896,59.97549019607843,35.34562916075521
251-260,59.967320261437905,59.558823529411754,60.661764705882355,59.59967320261437,43.49553340239076
261-270,60.80065359477125,59.92647058823529,58.21078431372549,58.954248366013076,36.06577176325076
271-280,59.640522875816984,59.31372549019608,58.864379084967325,58.49673202614379,45.87719959778783
281-290,59.59967320261437,60.334967320261434,61.446078431372555,60.29411764705882,39.95508990570448
291-300,58.95969498910676,61.96895424836601,58.89161220043573,56.29474011826953,43.293603155547935
