Time Interval,x1,x2,x4,x48,x96
1-10,7.3450496,8.1022976,14.211430400000001,14.750617599999998,42.2016512
11-20,9.881804800000001,10.134732799999998,12.484505599999999,14.7556352,28.3218944
21-30,5.709209599999999,11.133747199999998,12.5200384,16.4226048,42.576329599999994
31-40,6.2454784,11.103232,14.174003199999998,16.451379199999998,28.5848576
41-50,6.224384,10.0631552,14.7418112,14.8493312,35.5628832
51-60,6.212915199999999,11.088281599999998,10.15144,16.4718592,39.330918399999995
61-70,6.2087167999999995,11.110297599999999,15.1442432,16.4757504,28.6997504
71-80,6.227455999999999,11.90144,12.466176,14.8550656,35.8581056
81-90,6.2108672,11.628441599999999,12.453478399999998,18.0352,25.231792000000002
91-100,6.1944832,10.3241728,11.278540799999998,16.4524032,32.4087232
101-110,5.9323424,12.723404799999999,12.148326399999998,14.894870399999999,32.3036064
111-120,6.209331199999999,11.0784512,12.5345792,16.5256192,21.631948799999996
121-130,6.244352,13.295411199999998,12.5553664,16.510464,39.4580864
131-140,6.1737984,11.148287999999999,12.500889599999999,16.494592,28.8783392
141-150,6.2606336,11.0783488,12.4394496,16.5223424,32.4927008
151-160,6.1753344,11.0675968,12.429721599999999,16.4704256,28.853344
161-170,6.2324736000000005,11.1120384,12.500684799999998,16.5514624,46.549897599999994
171-180,6.2212096,11.0763008,11.315814399999999,16.6793216,46.9076192
181-190,6.2200831999999995,11.1538176,12.548607999999998,18.24512,32.5712896
191-200,6.2067712,10.008473599999999,12.461568,18.208768,36.088137599999996
201-210,6.207385599999999,11.0276608,12.4414976,16.5567488,36.191744
211-220,6.194380799999999,11.066675199999999,12.456959999999999,16.623718399999998,28.939468799999997
221-230,6.250598399999999,11.1688704,12.484607999999998,16.566886399999998,43.2848064
231-240,6.2237696,11.0936064,12.5184,14.924083199999998,36.4542656
241-250,6.2313472,11.1046656,12.560896,16.594124799999996,25.32096
251-260,6.230323199999999,11.0976,12.480921599999999,18.2498304,39.903152
261-270,6.2179328,11.115724799999999,12.467097599999999,16.5890048,32.6344064
271-280,6.2188544,11.139071999999999,12.455219199999998,16.582144,32.6416384
281-290,6.1912063999999996,11.1188992,12.4532736,16.576409599999998,29.175721599999996
291-300,6.204074666666666,11.090432,12.645375999999999,18.912987428571427,41.290477714285714
